Major Category,General Category,Specific Category,Summary MET value
15 Volunteer Activities,"03 Indoor and Outdoor Maintenance, Building, and Clean-Up Activities","02 Indoor and outdoor maintenance, repair, and clean-up",3.56
15 Volunteer Activities,"03 Indoor and Outdoor Maintenance, Building, and Clean-Up Activities","99 Indoor & outdoor maintenance, building & clean-up activities, n.e.c.",3.82
15 Volunteer Activities,04 Participating in Performance and Cultural Activities,01 Performing,2.92
15 Volunteer Activities,04 Participating in Performance and Cultural Activities,02 Serving at volunteer events and cultural activities,1.83
15 Volunteer Activities,04 Participating in Performance and Cultural Activities,"99 Participating in performance and cultural activities, n.e.c.",2.51
15 Volunteer Activities,"05 Attending Meetings, Conferences, and Training","01 Attending meetings, conferences, and training",1.50
15 Volunteer Activities,"05 Attending Meetings, Conferences, and Training","99 Attending meetings, conferences, and training, n.e.c.",1.50
15 Volunteer Activities,06 Public Health and Safety Activities,01 Public health activities,2.00
15 Volunteer Activities,06 Public Health and Safety Activities,02 Public safety activities,2.50
15 Volunteer Activities,06 Public Health and Safety Activities,"99 Public health and safety activities, n.e.c.",2.25
15 Volunteer Activities,"99 Volunteer Activities, n.e.c.","99 Volunteer activities, n.e.c.",2.29
16 Telephone Calls,01 Telephone calls (to or from),01 Telephone calls to/from family members,1.50
16 Telephone Calls,01 Telephone calls (to or from),"02 Telephone calls to/from friends, neighbors, or acquaintance",1.50
16 Telephone Calls,01 Telephone calls (to or from),03 Telephone calls to/from education services providers,1.50
16 Telephone Calls,01 Telephone calls (to or from),04 Telephone calls to/from salespeople,1.50
16 Telephone Calls,01 Telephone calls (to or from),05 Telephone calls to/from professional or personal care services providers,1.50
16 Telephone Calls,01 Telephone calls (to or from),06 Telephone calls to/from HH services providers,1.50
16 Telephone Calls,01 Telephone calls (to or from),07 Telephone calls to/from paid child or adult care providers,1.50
16 Telephone Calls,01 Telephone calls (to or from),08 Telephone calls to/from government officials,1.50
16 Telephone Calls,"99 Telephone Calls, n.e.c.","99 Telephone Calls, n.e.c.",1.50
